final_price,bathrooms,sqft,parking,type,lat,long,city_district,bedrooms_ag,bedrooms_bg
770000,3,,2,Detached,43.717713,-79.5482912,Elms-Old Rexdale,3,1
450017,2,1100,2,Condo Apt,43.7772704,-79.3368302,Pleasant View,3,0
481000,1,650,1,Condo Apt,43.6092724,-79.557008,Islington-City Centre West,1,1
665000,2,950,2,Condo Apt,43.7653269,-79.3823073,Bayview Village,2,0
680000,1,650,0,Comm Element Condo,43.6460983,-79.3760549,Waterfront Communities-The Island,1,0
547000,1,550,0,Condo Apt,43.6397127,-79.383424,Waterfront Communities-The Island,1,0
430000,1,550,1,Condo Apt,43.6234147,-79.5166562,Islington-City Centre West,1,0
820000,2,,0,Semi-Detached,43.6814635,-79.3242582,Greenwood-Coxwell,2,1
645000,1,750,1,Condo Apt,43.6398029,-79.4147526,Niagara,2,0
755000,4,,2,Semi-Detached,43.8167264,-79.2223043,Malvern,3,1
470500,1,550,1,Condo Apt,43.6789026,-79.298997,East End-Danforth,1,0
740000,4,,5,Link,43.8170466,-79.264625,Agincourt North,3,0
936000,2,1750,2,Att/Row/Twnhouse,43.6411477,-79.439277,Roncesvalles,3,1
2775000,5,,3,Detached,43.7369122,-79.416014,Bedford Park-Nortown,4,0
505000,2,1100,1,Condo Townhouse,43.7794382,-79.2153531,Morningside,3,0
788500,3,,2,Detached,43.787218,-79.2182614,Morningside,3,2
976000,2,1100,1,Condo Apt,43.6645133,-79.3080881,The Beaches,2,0
637000,2,,6,Semi-Detached,43.8080517,-79.2298497,Malvern,3,1
1010000,2,950,1,Condo Apt,43.7172692,-79.3793441,Bridle Path-Sunnybrook-York Mills,2,1
615000,3,1500,1,Condo Townhouse,43.8028015,-79.2860837,Agincourt South-Malvern West,3,0
590000,1,650,1,Condo Apt,43.660249,-79.3428952,South Riverdale,1,1
795000,2,,6,Detached,43.7153776,-79.2887823,Clairlea-Birchmount,3,0
787000,2,750,1,Condo Apt,43.6861525,-79.3928741,Rosedale-Moore Park,2,0
480000,1,550,0,Condo Apt,43.6399547,-79.382025,Waterfront Communities-The Island,1,0
875000,1,,1,Semi-Detached,43.6829476,-79.31733,Woodbine Corridor,3,0
1912000,6,3250,6,Detached,43.7662304,-79.4632252,Bathurst Manor,4,3
651100,2,,3,Detached,43.794874,-79.221434,Malvern,3,3
405000,2,1100,1,Condo Apt,43.8259767,-79.2744086,Milliken,2,0
975000,2,850,1,Condo Apt,43.6441737,-79.3894209,Waterfront Communities-The Island,2,0
765000,3,,2,Detached,43.7450372,-79.6018876,West Humber-Clairville,5,1
880000,3,,1,Detached,43.6886334,-79.4784379,Keelesdale-Eglinton West,3,3
3200000,5,4250,6,Detached,43.6565366,-79.5311226,Princess-Rosethorn,4,2
667700,1,850,1,Condo Apt,43.6393203,-79.3857232,Waterfront Communities-The Island,1,1
219000,1,650,1,Co-Ownership Apt,43.7485076,-79.5059333,Glenfield-Jane Heights,1,0
2075000,4,,4,Detached,43.6703527,-79.5491974,Princess-Rosethorn,4,0
610000,1,550,1,Condo Apt,43.6517211,-79.369404,Moss Park,1,0
526000,1,750,0,Condo Apt,43.6522828,-79.3903646,Kensington-Chinatown,2,0
2200000,5,2750,4,Detached,43.637215,-79.5195313,Stonegate-Queensway,4,1
443000,1,550,0,Condo Apt,43.7737483,-79.4155086,Willowdale West,1,0
566000,2,750,0,Condo Apt,43.6415328,-79.4240715,Little Portugal,2,0
815500,3,,3,Detached,43.7397154,-79.2980395,Wexford/Maryvale,3,1
475500,1,850,1,Condo Apt,43.6773071,-79.5069852,Rockcliffe-Smythe,1,0
440000,1,650,1,Condo Apt,43.7194488,-79.3376664,Flemingdon Park,1,1
1070000,4,,4,Detached,43.8254793,-79.266764,Milliken,4,2
430000,2,1100,1,Condo Apt,43.7185565,-79.3262896,Flemingdon Park,3,0
718000,2,1100,0,Condo Apt,43.656674,-79.3834432,Bay Street Corridor,2,0
735000,4,,2,Link,43.8232378,-79.2662024,Milliken,3,1
1005605,3,,2,Detached,43.7846461,-79.3187629,L'Amoreaux,3,0
435000,2,950,1,Condo Apt,43.7847327,-79.2881438,Agincourt South-Malvern West,2,0
586000,1,750,0,Condo Apt,43.6522277,-79.3692699,Moss Park,1,1
1310000,2,2750,5,Detached,43.6465994,-79.5345875,Islington-City Centre West,5,0
503000,2,1300,1,Condo Townhouse,43.7011607,-79.5068557,Weston,3,0
968000,2,850,1,Condo Apt,43.661927,-79.3865112,Bay Street Corridor,2,0
910000,2,,0,Detached,43.6881929,-79.3205236,Danforth East York,2,1
1458000,3,1900,2,Condo Apt,43.7734963,-79.3589637,Don Valley Village,2,1
673000,1,850,1,Condo Apt,43.6368544,-79.3966201,Waterfront Communities-The Island,1,1
546000,2,1300,1,Condo Apt,43.7958866,-79.4270483,Newtonbrook West,3,0
725000,1,650,0,Condo Apt,43.6419035,-79.379113,Waterfront Communities-The Island,1,1
950000,2,,0,Semi-Detached,43.6811732,-79.3170405,Woodbine Corridor,2,0
795000,2,,3,Detached,43.7486435,-79.3063932,Wexford/Maryvale,3,2
985000,3,,1,Semi-Detached,43.6875989,-79.3186419,Danforth,3,1
550000,2,1100,1,Condo Apt,43.7831108,-79.4151998,Newtonbrook East,2,1
486000,2,1500,1,Condo Apt,43.6502088,-79.5685094,Etobicoke West Mall,3,1
440000,2,1300,1,Condo Apt,43.7500359,-79.5673777,Humber Summit,3,0
487000,1,750,1,Condo Apt,43.6402846,-79.5598172,Islington-City Centre West,1,1
377000,2,1500,1,Condo Apt,43.7976705,-79.3198853,L'Amoreaux,2,1
950000,4,,1,Detached,43.6960276,-79.3085503,Woodbine-Lumsden,3,1
710000,3,,6,Detached,43.8140187,-79.2292769,Malvern,4,2
740000,2,850,1,Condo Apt,43.6611027,-79.3821061,Church-Yonge Corridor,2,0
1352875,2,,6,Detached,43.7491257,-79.3460936,Banbury-Don Mills,3,1
459900,2,1100,1,Condo Apt,43.7323456,-79.5369412,Pelmo Park-Humberlea,3,0
440000,2,950,1,Condo Apt,43.7913153,-79.3572481,Don Valley Village,2,0
1725750,4,,4,Detached,43.7505659,-79.3291504,Parkwoods-Donalda,3,1
710000,2,,5,Detached,43.8145117,-79.2337252,Malvern,3,2
573000,2,1500,2,Condo Apt,43.7306927,-79.3273194,Banbury-Don Mills,2,1
555000,1,650,1,Condo Apt,43.6405881,-79.4248274,South Parkdale,2,0
840000,2,850,1,Condo Apt,43.6522103,-79.3707988,Moss Park,2,0
561000,2,850,1,Condo Apt,43.774003,-79.2575808,Bendale,2,1
1901000,3,,3,Detached,43.7044377,-79.4358191,Forest Hill North,4,1
1807500,5,2750,1,Att/Row/Twnhouse,43.7314885,-79.3927308,Lawrence Park North,3,1
415000,1,750,1,Condo Apt,43.7025389,-79.351572,Thorncliffe Park,1,0
735000,2,850,1,Condo Apt,43.6238212,-79.4787279,Mimico (includes Humber Bay Shores),2,1
422450,1,550,1,Condo Apt,43.715099,-79.4797923,Maple Leaf,1,0
705000,2,,3,Detached,43.7384566,-79.2904354,Wexford/Maryvale,3,1
538000,1,550,0,Condo Apt,43.6701589,-79.3803887,Church-Yonge Corridor,1,1
334000,1,550,1,Condo Apt,43.7317441,-79.5772925,West Humber-Clairville,1,0
978000,4,,2,Detached,43.8134481,-79.3145812,Steeles,3,1
790000,2,,6,Detached,43.748918,-79.60045,West Humber-Clairville,3,2
696000,2,1700,1,Condo Townhouse,43.8100859,-79.3640897,Hillcrest Village,3,0
762000,2,,4,Detached,43.7722412,-79.2056691,Morningside,3,3
390000,1,750,1,Condo Apt,43.7918356,-79.2374037,Malvern,1,1
512000,2,650,1,Condo Apt,43.7739128,-79.3293592,Henry Farm,1,1
720000,3,1300,1,Condo Townhouse,43.7627142,-79.3464237,Parkwoods-Donalda,3,0
820000,1,,2,Detached,43.6944753,-79.5168927,Humber Heights-Westmount,3,0
526000,3,1300,1,Condo Townhouse,43.6418184,-79.5595537,Islington-City Centre West,3,1
435000,1,550,0,Condo Apt,43.7732477,-79.3458375,Henry Farm,1,1
525000,1,550,0,Condo Apt,43.6433248,-79.3991496,Waterfront Communities-The Island,1,0
673000,2,1100,1,Condo Apt,43.7751232,-79.3454556,Henry Farm,2,0
1360000,3,1300,1,Semi-Detached,43.6781869,-79.3039717,East End-Danforth,3,1
996000,2,,1,Semi-Detached,43.6885514,-79.3150384,Danforth,3,0
430000,2,1100,1,Condo Apt,43.7375763,-79.2382502,Eglinton East,2,1
1019000,3,1750,2,Semi-Detached,43.6826222,-79.4463144,Corso Italia-Davenport,4,1
1210000,2,,2,Detached,43.7872085,-79.4130917,Newtonbrook East,3,1
607000,3,1500,2,Condo Townhouse,43.7816708,-79.131743,Rouge,3,1
1270000,2,1300,4,Detached,43.6339185,-79.5734917,Markland Wood,3,1
419000,2,650,0,Condo Apt,43.6417813,-79.4234261,Little Portugal,1,1
338000,1,750,1,Condo Apt,43.801356,-79.3178165,L'Amoreaux,1,1
650000,2,650,1,Condo Apt,43.6550554,-79.3847211,Bay Street Corridor,1,1
815000,2,,1,Att/Row/Twnhouse,43.6729102,-79.4265083,Wychwood,2,0
842000,4,,2,Detached,43.8280923,-79.2324051,Rouge,4,1
1010000,4,,4,Detached,43.8105024,-79.3252772,Steeles,3,1
602500,1,550,0,Condo Apt,43.6645795,-79.4106917,University,1,0
660000,1,550,0,Condo Apt,43.6460058,-79.3899085,Waterfront Communities-The Island,1,1
571000,2,950,1,Condo Apt,43.7641932,-79.4127583,Lansing-Westgate,2,0
835000,4,,3,Semi-Detached,43.7630357,-79.3348938,Parkwoods-Donalda,3,3
1070000,2,,3,Detached,43.6064538,-79.5561597,Alderwood,3,2
1080000,2,,4,Detached,43.7914937,-79.3266357,L'Amoreaux,3,0
617000,1,550,1,Condo Apt,43.7696635,-79.413783,Willowdale West,1,0
600000,2,850,1,Condo Apt,43.7694863,-79.3689201,Bayview Village,2,1
338900,1,950,1,Condo Apt,43.7944626,-79.3127827,L'Amoreaux,1,1
309000,1,750,1,Condo Apt,43.7702669,-79.2871469,Dorset Park,2,0
509000,1,750,1,Condo Apt,43.6152292,-79.4889486,Mimico (includes Humber Bay Shores),1,0
950000,2,,3,Detached,43.7383397,-79.2144277,Scarborough Village,3,1
569500,2,1300,1,Condo Townhouse,43.6417745,-79.5798563,Markland Wood,3,0
1150000,2,1300,2,Semi-Detached,43.6652559,-79.3369293,South Riverdale,3,0
562000,2,850,1,Condo Apt,43.773709,-79.2587701,Bendale,3,0
448500,1,750,1,Condo Apt,43.7246745,-79.6153431,West Humber-Clairville,2,0
